date,return,regime,w_SPY,w_TLT,w_GLD
2007-02-05,0.00048345078293582177,Bull,0.14998421402243287,0.050007574402265394,0.8000082115753017
2007-02-06,0.006264452703889658,Bull,0.14998421402243287,0.050007574402265394,0.8000082115753017
2007-02-07,-0.0014993468799691279,Bull,0.14998421402243287,0.050007574402265394,0.8000082115753017
2007-02-08,0.010784830924237149,Bull,0.14998421402243287,0.050007574402265394,0.8000082115753017
2007-02-09,0.00588719115327787,Bull,0.14998421402243287,0.050007574402265394,0.8000082115753017
2007-02-12,-0.006089073054603787,Bull,0.14998421402243287,0.050007574402265394,0.8000082115753017
2007-02-13,0.003219317268313217,Bull,0.14998421402243287,0.050007574402265394,0.8000082115753017
2007-02-14,0.007869479014205781,Bull,0.14998421402243287,0.050007574402265394,0.8000082115753017
2007-02-15,0.0008250231740964471,Bull,0.14998421402243287,0.050007574402265394,0.8000082115753017
2007-02-16,-0.0004994635803447179,Bull,0.14998421402243287,0.050007574402265394,0.8000082115753017
2007-02-20,-0.012328172764441932,Bull,0.14998421402243287,0.050007574402265394,0.8000082115753017
2007-02-21,0.02446027936432016,Bull,0.14998421402243287,0.050007574402265394,0.8000082115753017
2007-02-22,-0.0027636340323204337,Bull,0.14998421402243287,0.050007574402265394,0.8000082115753017
2007-02-23,0.006530956840181167,Bull,0.14998421402243287,0.050007574402265394,0.8000082115753017
2007-02-26,0.004673293987797452,Bull,0.14998421402243287,0.050007574402265394,0.8000082115753017
2007-02-27,-0.03758957199963019,Bear,0.14998421402243287,0.050007574402265394,0.8000082115753017
2007-02-28,0.014283664555110159,Bear,0.14998421402243287,0.050007574402265394,0.8000082115753017
2007-03-01,-0.008461505480048878,Bear,0.14998421402243287,0.050007574402265394,0.8000082115753017
2007-03-02,-0.027792842772933295,Bear,0.14998421402243287,0.050007574402265394,0.8000082115753017
2007-03-05,-0.011206387783770734,Bear,0.14998421402243287,0.050007574402265394,0.8000082115753017
2007-03-06,0.01775578985469289,Bear,0.14998421402243287,0.050007574402265394,0.8000082115753017
2007-03-07,0.0019120485186804124,Bear,0.14998421402243287,0.050007574402265394,0.8000082115753017
2007-03-08,0.003454916249310791,Bear,0.14998421402243287,0.050007574402265394,0.8000082115753017
2007-03-09,-0.0033447077021043596,Bear,0.14998421402243287,0.050007574402265394,0.8000082115753017
2007-03-12,0.0019117691155497898,Bear,0.14998421402243287,0.050007574402265394,0.8000082115753017
2007-03-13,-0.010762986521274427,Bear,0.14998421402243287,0.050007574402265394,0.8000082115753017
2007-03-14,0.0036430346561408117,Bear,0.14998421402243287,0.050007574402265394,0.8000082115753017
2007-03-15,0.000699183805479924,Bear,0.14998421402243287,0.050007574402265394,0.8000082115753017
2007-03-16,0.007531162660852222,Bear,0.14998421402243287,0.050007574402265394,0.8000082115753017
2007-03-19,0.003175571502930805,Bear,0.14998421402243287,0.050007574402265394,0.8000082115753017
2007-03-20,0.00737201951364294,Bear,0.14998421402243287,0.050007574402265394,0.8000082115753017
2007-03-21,0.009183682902818308,Bear,0.14998421402243287,0.050007574402265394,0.8000082115753017
2007-03-22,-0.00124196963136173,Bear,0.14998421402243287,0.050007574402265394,0.8000082115753017
2007-03-23,-0.007376452112099215,Bear,0.14998421402243287,0.050007574402265394,0.8000082115753017
2007-03-26,0.008291281152597366,Bear,0.14998421402243287,0.050007574402265394,0.8000082115753017
2007-03-27,-0.0021438326977507717,Bear,0.14998421402243287,0.050007574402265394,0.8000082115753017
2007-03-28,0.003053213037753378,Bull,0.14998421402243287,0.050007574402265394,0.8000082115753017
2007-03-29,-0.004768859368290832,Bull,0.14998421402243287,0.050007574402265394,0.8000082115753017
2007-03-30,0.0010313793550372733,Bull,0.14998421402243287,0.050007574402265394,0.8000082115753017
2007-04-02,0.0015894243404557793,Bull,0.14998421402243287,0.050007574402265394,0.8000082115753017
2007-04-03,0.0013001560251767455,Bull,0.14998421402243287,0.050007574402265394,0.8000082115753017
2007-04-04,0.012039755644650494,Bull,0.14998421402243287,0.050007574402265394,0.8000082115753017
2007-04-05,0.0008168923069220692,Bull,0.14998724364282215,0.050006192044518206,0.8000065643126596
2007-04-09,-0.004082126435142578,Bull,0.14998724364282215,0.050006192044518206,0.8000065643126596
2007-04-10,0.007865275902004967,Bull,0.14998724364282215,0.050006192044518206,0.8000065643126596
2007-04-11,-0.0016009891705406364,Bull,0.14998724364282215,0.050006192044518206,0.8000065643126596
2007-04-12,-0.0003977160153306054,Bull,0.14998724364282215,0.050006192044518206,0.8000065643126596
2007-04-13,0.010615063339198927,Bull,0.14998724364282215,0.050006192044518206,0.8000065643126596
2007-04-16,0.00826916374538993,Bull,0.14998724364282215,0.050006192044518206,0.8000065643126596
2007-04-17,-0.004015060650122087,Bull,0.14998724364282215,0.050006192044518206,0.8000065643126596
2007-04-18,0.004890726237036853,Bull,0.14998724364282215,0.050006192044518206,0.8000065643126596
2007-04-19,-0.010132337029839851,Bull,0.14998724364282215,0.050006192044518206,0.8000065643126596
2007-04-20,0.01502090775728799,Bull,0.14998724364282215,0.050006192044518206,0.8000065643126596
2007-04-23,-0.005525157865246712,Bull,0.14998724364282215,0.050006192044518206,0.8000065643126596
2007-04-24,-0.005988817863585532,Bull,0.14998724364282215,0.050006192044518206,0.8000065643126596
2007-04-25,0.0030835514932194084,Bull,0.14998724364282215,0.050006192044518206,0.8000065643126596
2007-04-26,-0.012303254589928649,Bull,0.14998724364282215,0.050006192044518206,0.8000065643126596
2007-04-27,0.008080831024782005,Bull,0.14998724364282215,0.050006192044518206,0.8000065643126596
2007-04-30,-0.006312801703621192,Bull,0.14998724364282215,0.050006192044518206,0.8000065643126596
2007-05-01,-0.004363932524648501,Bull,0.14998724364282215,0.050006192044518206,0.8000065643126596
2007-05-02,0.0004869375277983182,Bull,0.14998724364282215,0.050006192044518206,0.8000065643126596
2007-05-03,0.010596568736599058,Bull,0.14998724364282215,0.050006192044518206,0.8000065643126596
2007-05-04,0.009026011577925715,Bull,0.14998724364282215,0.050006192044518206,0.8000065643126596
2007-05-07,0.0008686699066719945,Bull,0.14998916231568502,0.050005312209066406,0.8000055254752485
2007-05-08,-0.004660374232187338,Bull,0.14998916231568502,0.050005312209066406,0.8000055254752485
2007-05-09,-0.004874461511479357,Bull,0.14998916231568502,0.050005312209066406,0.8000055254752485
2007-05-10,-0.018842798134559018,Bull,0.14998916231568502,0.050005312209066406,0.8000055254752485
2007-05-11,0.006538721701409897,Bull,0.14998916231568502,0.050005312209066406,0.8000055254752485
2007-05-14,-0.0025083288399223467,Bull,0.14998916231568502,0.050005312209066406,0.8000055254752485
2007-05-15,0.003154912128167788,Bull,0.14998916231568502,0.050005312209066406,0.8000055254752485
2007-05-16,-0.010393745655608197,Bull,0.14998916231568502,0.050005312209066406,0.8000055254752485
2007-05-17,-0.007115176374584621,Bull,0.14998916231568502,0.050005312209066406,0.8000055254752485
2007-05-18,0.006606834714884002,Bull,0.14998916231568502,0.050005312209066406,0.8000055254752485
